Team name,Team description,Visibility,Owner
Ironman Insiders,This is a team for all Ironman fans,Public,dev@devintruder.onmicrosoft.com
Batman Beholders,This is a team for all Batman fans,Public,dev@devintruder.onmicrosoft.com
Captain America,This is a team for all Captain America fans,Public,dev@devintruder.onmicrosoft.com
Hawkeye Heroes,This is a team for all Hawkeye fans,Public,dev@devintruder.onmicrosoft.com
Sensible Superman,This is a team for all Superman fans,Public,dev@devintruder.onmicrosoft.com
Wonder Woman,This is a team for all Wonder Woman fans,Private,dev@devintruder.onmicrosoft.com
Sneaky Spiderman,This is a team for all Spiderman fans,Public,dev@devintruder.onmicrosoft.com
Green Arrow,This is a team for all Green Arrow fans,Public,dev@devintruder.onmicrosoft.com
Green Lantern,This is a team for all Green Lantern fans,Public,dev@devintruder.onmicrosoft.com
Martian Manhunter,This is a team for all Martian Manhunter fans,Private,dev@devintruder.onmicrosoft.com
Happy Hawkgirl,This is a team for all Hawkgirl fans,Public,dev@devintruder.onmicrosoft.com
Amazing Aquaman,This is a team for all Aquaman fans,Public,dev@devintruder.onmicrosoft.com
Fantastic Flash,This is a team for all Flash fans,Public,dev@devintruder.onmicrosoft.com
Black Canary,This is a team for all Black Canary fans,Public,dev@devintruder.onmicrosoft.com
Visionary Vision,This is a team for all Vision fans,Public,dev@devintruder.onmicrosoft.com
